<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX.SBER:SMAL,1,20230110,175400,141.1900000,141.1900000,141.1900000,141.1900000,1
MOEX.SBER:SMAL,1,20230110,175800,141.2000000,141.2000000,141.1200000,141.1200000,60
MOEX.SBER:SMAL,1,20230110,183700,141.5000000,141.5000000,141.5000000,141.5000000,2
MOEX.SBER:SMAL,1,20230110,183800,141.5000000,141.5000000,141.5000000,141.5000000,2
MOEX.SBER:SMAL,1,20230110,190700,141.1300000,141.1300000,141.1300000,141.1300000,4
MOEX.SBER:SMAL,1,20230111,104600,144.7800000,144.7800000,144.7800000,144.7800000,1
MOEX.SBER:SMAL,1,20230111,110300,144.8000000,144.8000000,144.8000000,144.8000000,1
MOEX.SBER:SMAL,1,20230111,110500,144.8000000,145.6800000,144.8000000,145.6800000,10
MOEX.SBER:SMAL,1,20230111,111200,145.6800000,146.2400000,145.6800000,146.2400000,10
MOEX.SBER:SMAL,1,20230111,112600,147.0000000,147.3000000,147.0000000,147.3000000,5
MOEX.SBER:SMAL,1,20230111,114800,144.5000000,144.5000000,143.7800000,143.7800000,2
MOEX.SBER:SMAL,1,20230111,122700,149.9300000,149.9300000,149.9300000,149.9300000,1
MOEX.SBER:SMAL,1,20230111,124200,148.0000000,148.0000000,143.3100000,143.3100000,2
MOEX.SBER:SMAL,1,20230111,125200,146.9800000,146.9800000,146.9800000,146.9800000,1
MOEX.SBER:SMAL,1,20230111,125900,144.0800000,144.0800000,143.7800000,143.7800000,6
MOEX.SBER:SMAL,1,20230111,130600,146.9800000,149.9600000,146.9800000,149.9600000,9
MOEX.SBER:SMAL,1,20230111,131200,144.7800000,144.7800000,144.7800000,144.7800000,1
MOEX.SBER:SMAL,1,20230111,131300,144.7800000,144.7800000,144.7800000,144.7800000,3
MOEX.SBER:SMAL,1,20230111,133400,147.0800000,147.0800000,147.0800000,147.0800000,1
MOEX.SBER:SMAL,1,20230111,133500,148.9800000,148.9800000,148.9800000,148.9800000,1
MOEX.SBER:SMAL,1,20230111,135100,145.0000000,145.0000000,144.0300000,144.0300000,6
MOEX.SBER:SMAL,1,20230111,142600,147.4600000,147.4600000,147.4600000,147.4600000,1
MOEX.SBER:SMAL,1,20230111,144600,148.9800000,149.9000000,148.9800000,149.9000000,5
MOEX.SBER:SMAL,1,20230111,150400,149.9000000,149.9000000,149.9000000,149.9000000,4
MOEX.SBER:SMAL,1,20230111,153000,149.9000000,149.9100000,149.9000000,149.9100000,7
MOEX.SBER:SMAL,1,20230111,164200,149.9000000,149.9000000,149.9000000,149.9000000,3
MOEX.SBER:SMAL,1,20230111,174300,149.9000000,149.9000000,149.9000000,149.9000000,2
MOEX.SBER:SMAL,1,20230111,182900,148.1000000,148.1000000,148.0900000,148.0900000,4
MOEX.SBER:SMAL,1,20230111,183000,148.0900000,148.0900000,147.1700000,147.1700000,116
MOEX.SBER:SMAL,1,20230111,204000,149.4900000,149.4900000,149.4900000,149.4900000,1
MOEX.SBER:SMAL,1,20230111,212800,149.4900000,149.4900000,149.4900000,149.4900000,1
MOEX.SBER:SMAL,1,20230111,213400,148.0500000,148.0500000,148.0500000,148.0500000,1
MOEX.SBER:SMAL,1,20230112,100100,149.9000000,149.9100000,149.9000000,149.9100000,10
MOEX.SBER:SMAL,1,20230112,103200,149.9100000,151.7300000,149.9100000,151.7300000,6
MOEX.SBER:SMAL,1,20230112,112500,148.0000000,148.0000000,148.0000000,148.0000000,2
MOEX.SBER:SMAL,1,20230112,123800,148.5000000,148.5000000,148.5000000,148.5000000,10
MOEX.SBER:SMAL,1,20230112,124300,148.5000000,148.5000000,148.5000000,148.5000000,3
MOEX.SBER:SMAL,1,20230112,134100,148.5000000,148.5000000,147.8000000,147.8000000,2
MOEX.SBER:SMAL,1,20230112,143100,147.7700000,147.7700000,147.7700000,147.7700000,2
MOEX.SBER:SMAL,1,20230112,145100,147.7700000,147.7700000,147.7700000,147.7700000,6
